ticker,name,market,sector,market_cap,total_score,grade,growth_score,sector_score,momentum_score,value_score,d_eps_growth,d_revenue_cagr,d_operating_margin,d_sector_flow,d_analyst_reports,d_news_multiplier,d_volume_multiplier,d_week52_position,d_institutional_buying,d_forward_peg,d_pbr_ratio,raw_eps_growth_pct,raw_revenue_cagr_pct,raw_operating_margin_trend,raw_volume_multiplier,raw_week52_position_pct,raw_institutional_buying,raw_pbr_vs_sector,raw_forward_peg,raw_sector_flow,raw_analyst_count,raw_news_multiplier,last_updated
095570,AJ네트웍스,"market    KOSPI
market      STK
Name: 942, dtype: object",,1877.9894985,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.03,74.69,,,,,0,,2026-09-21 13:46:54
304100,솔트룩스,"market    KOSDAQ
market       KSQ
Name: 943, dtype: object",,1877.7437805,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.34,39.11,,,,,0,,2026-09-21 13:46:54
003547,대신증권2우B,"market    KOSPI
market      STK
Name: 944, dtype: object",,1876.1818698,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.37,66.02,,,,,0,,2026-09-21 13:46:55
102460,이연제약,"market    KOSPI
market      STK
Name: 945, dtype: object",,1875.4092299,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.57,76.74,,,,,0,,2026-09-21 13:46:55
016790,현대사료,"market    KOSDAQ
market       KSQ
Name: 946, dtype: object",,1873.40898626,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,2026-09-21 13:46:57
452450,피아이이,"market    KOSDAQ
market       KSQ
Name: 947, dtype: object",,1869.87915,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.31,53.6,,,,,0,,2026-09-21 13:46:58
194700,노바렉스,"market    KOSDAQ
market       KSQ
Name: 948, dtype: object",,1867.4709504,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.79,47.63,,,,,0,,2026-09-21 13:47:01
403850,더핑크퐁컴퍼니,"market    KOSDAQ
market       KSQ
Name: 949, dtype: object",,1859.890896,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.67,20.85,,,,,0,,2026-09-21 13:47:01
260870,SK시그넷,"market    KONEX
market      KNX
Name: 951, dtype: object",,1852.0453005,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.3,66.04,,,,,0,,2026-09-21 13:47:02
042420,네오위즈홀딩스,"market    KOSDAQ
market       KSQ
Name: 954, dtype: object",,1844.2270995,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.42,75.46,,,,,0,,2026-09-21 13:47:07
108380,대양전기공업,"market    KOSDAQ
market       KSQ
Name: 962, dtype: object",,1826.4038697,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.98,51.98,,,,,0,,2026-09-21 13:47:15
084850,아이티엠반도체,"market    KOSDAQ
market       KSQ
Name: 961, dtype: object",,1832.7810672,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.28,40.88,,,,,0,,2026-09-21 13:47:15
